Registry,Country,ASN,Value,Date,Status
arin,US,1,1,20010920,assigned
arin,US,2,1,19910110,assigned
arin,US,3,1,00000000,assigned
arin,US,4,1,19840222,assigned
arin,US,5,1,19840202,assigned
arin,US,6,1,19840202,assigned
arin,US,8,1,19840326,assigned
arin,US,9,1,19840417,assigned
arin,US,10,1,00000000,assigned
arin,US,11,1,19840704,assigned
arin,US,12,1,19840705,assigned
arin,US,13,1,19840716,assigned
arin,US,14,1,00000000,assigned
arin,US,15,1,00000000,assigned
arin,US,16,1,00000000,assigned
arin,US,17,1,19840801,assigned
arin,US,18,1,19840727,assigned
arin,US,19,1,19840727,assigned
arin,US,20,1,19840727,assigned
arin,US,21,1,19840730,assigned
arin,US,22,1,19840730,assigned
arin,US,23,1,19840802,assigned
arin,US,24,1,19840803,assigned
arin,US,25,1,19840803,assigned
arin,US,26,1,19840810,assigned
arin,US,27,1,19840828,assigned
arin,US,29,1,19840918,assigned
arin,US,30,1,19840921,assigned
arin,US,31,1,19840921,assigned
arin,US,32,1,19840924,assigned
arin,US,33,1,19840924,assigned
arin,US,34,1,19841003,assigned
arin,US,35,1,00000000,assigned
arin,US,36,1,19850104,assigned
arin,US,37,1,19850104,assigned
arin,US,38,1,19850124,assigned
arin,US,39,1,19850208,assigned
arin,US,40,1,19850228,assigned
arin,US,41,1,19850220,assigned
arin,US,42,1,20010516,assigned
arin,US,43,1,19850411,assigned
arin,US,44,1,19850605,assigned
arin,US,45,1,19850703,assigned
arin,US,46,1,19850816,assigned
arin,US,47,1,19850816,assigned
arin,US,48,1,19850828,assigned
arin,US,49,1,19850904,assigned
arin,US,50,1,19850920,assigned
arin,US,51,1,19851009,assigned
arin,US,52,1,19851024,assigned
arin,US,53,1,19851224,assigned
arin,US,54,1,19851224,assigned
arin,US,55,1,19851218,assigned
arin,US,56,1,19851218,assigned
arin,US,57,1,19851218,assigned
arin,CA,58,1,19851218,assigned
arin,US,59,1,19860121,assigned
arin,US,60,1,19860212,assigned
arin,US,61,1,19860218,assigned
arin,US,62,1,20120928,assigned
arin,US,63,1,19860224,assigned
arin,US,64,1,19860304,assigned
arin,US,65,1,19860318,assigned
arin,US,66,1,19860318,assigned
arin,US,67,1,19860403,assigned
arin,US,68,1,19860410,assigned
arin,US,69,1,19860410,assigned
arin,US,70,1,19860414,assigned
arin,US,71,1,19860414,assigned
arin,US,72,1,19860505,assigned
arin,US,73,1,19860505,assigned
arin,CA,74,1,19860505,assigned
arin,US,75,1,19860505,assigned
