Registry,Country,ASN,Value,Date,Status
apnic,TW,1659,1,20020801,allocated
apnic,TW,1768,2,20020801,allocated
apnic,TW,3462,1,20020801,allocated
apnic,TW,4636,1,19951030,allocated
apnic,TW,4662,1,19960201,allocated
apnic,TW,4747,1,19960319,allocated
apnic,TW,4780,4,19960709,allocated
apnic,TW,4845,1,20010925,allocated
apnic,TW,7478,1,19970212,allocated
ripencc,TW,7480,1,19970217,allocated
apnic,TW,7481,3,19970217,allocated
apnic,TW,7532,8,19970322,allocated
apnic,TW,7541,1,19970417,allocated
apnic,TW,7618,1,19970905,allocated
apnic,TW,7649,1,19971110,allocated
apnic,TW,7655,2,19971110,allocated
apnic,TW,7708,4,19971226,allocated
apnic,TW,9216,1,20000505,allocated
apnic,TW,9244,1,20000529,allocated
apnic,TW,9264,1,19980202,allocated
apnic,TW,9267,1,20220128,allocated
apnic,TW,9311,1,19980513,allocated
apnic,TW,9346,1,19980806,allocated
apnic,TW,9415,1,19980925,allocated
apnic,TW,9416,1,19980928,allocated
apnic,TW,9505,1,19990324,allocated
apnic,TW,9539,1,19990525,allocated
apnic,TW,9671,1,20031015,allocated
apnic,TW,9674,8,19991004,allocated
apnic,TW,9831,1,20000120,allocated
apnic,TW,9915,10,20000328,allocated
apnic,TW,10085,1,20000626,allocated
apnic,TW,10126,1,20020802,allocated
apnic,TW,10133,1,20000809,allocated
apnic,TW,10135,1,20000814,allocated
apnic,TW,10229,1,20001005,allocated
apnic,TW,11467,1,20020801,allocated
apnic,TW,17408,1,20010112,allocated
apnic,TW,17413,10,20001016,allocated
apnic,TW,17502,1,20001212,allocated
apnic,TW,17651,1,20010307,allocated
apnic,TW,17657,1,20250508,allocated
apnic,TW,17709,10,20010402,allocated
apnic,TW,17809,1,20010704,allocated
apnic,TW,18040,10,20011109,allocated
apnic,TW,18177,9,20020405,allocated
apnic,TW,18217,1,20020515,allocated
apnic,TW,18248,1,20241203,allocated
apnic,TW,18391,1,20021025,allocated
apnic,TW,18410,20,20021220,allocated
apnic,TW,23675,1,20030318,allocated
apnic,TW,23712,1,20030407,allocated
apnic,TW,24153,20,20050711,allocated
apnic,TW,24235,1,20040930,allocated
apnic,TW,24506,1,20051206,allocated
apnic,TW,38042,1,20201020,allocated
apnic,TW,38045,1,20060601,allocated
apnic,TW,38059,1,20060613,allocated
apnic,TW,38187,1,20100407,allocated
apnic,TW,38254,1,20210608,allocated
apnic,TW,38385,1,20070129,allocated
apnic,TW,38797,1,20071005,allocated
apnic,TW,38837,20,20071213,allocated
ripencc,TW,44937,1,20231030,allocated
apnic,TW,45125,1,20080228,allocated
apnic,TW,45250,1,20080704,allocated
apnic,TW,45342,1,20080808,allocated
apnic,TW,45592,1,20081231,allocated
apnic,TW,45599,1,20090109,allocated
apnic,TW,45761,1,20090429,allocated
apnic,TW,45930,1,20091015,allocated
ripencc,TW,49608,1,20231127,allocated
ripencc,TW,51930,1,20210922,allocated
apnic,TW,55417,1,20100212,allocated
apnic,TW,55576,1,20100712,allocated
