Registry,Country,ASN,Value,Date,Status
lacnic,BZ,10269,1,19970603,allocated
lacnic,BZ,18466,1,20000831,allocated
lacnic,BZ,28078,1,20090818,allocated
lacnic,BZ,28094,1,20091107,allocated
lacnic,BZ,52449,1,20130307,allocated
lacnic,BZ,61440,1,20130902,allocated
lacnic,BZ,64160,1,20240327,allocated
apnic,BZ,140507,1,20200331,allocated
lacnic,BZ,262239,1,20120606,allocated
lacnic,BZ,263187,1,20131107,allocated
lacnic,BZ,263824,1,20150817,allocated
lacnic,BZ,264640,1,20151117,allocated
lacnic,BZ,264663,1,20160114,allocated
lacnic,BZ,264749,1,20160804,allocated
lacnic,BZ,264779,1,20160920,allocated
lacnic,BZ,264794,1,20161018,allocated
lacnic,BZ,265727,1,20170525,allocated
lacnic,BZ,265818,1,20170912,allocated
lacnic,BZ,265826,1,20170926,allocated
lacnic,BZ,266691,1,20171228,allocated
lacnic,BZ,266748,1,20180306,allocated
lacnic,BZ,266762,1,20180402,allocated
lacnic,BZ,267932,1,20190710,allocated
