Registry,Country,ASN,Value,Date,Status
afrinic,SC,20180,1,20140402,allocated
afrinic,SC,21242,1,20131224,allocated
ripencc,SC,34046,1,20041011,allocated
ripencc,SC,34888,1,20190920,allocated
ripencc,SC,35112,1,20190416,allocated
afrinic,SC,36867,1,20050818,allocated
afrinic,SC,36902,1,20060504,allocated
afrinic,SC,36958,1,20070628,allocated
afrinic,SC,37343,1,20110531,allocated
afrinic,SC,37518,1,20121108,allocated
afrinic,SC,37707,1,20150130,allocated
afrinic,SC,37740,1,20240828,allocated
ripencc,SC,42624,1,20170324,allocated
ripencc,SC,42745,1,20170320,allocated
ripencc,SC,43180,1,20070620,allocated
ripencc,SC,46805,1,20121121,allocated
ripencc,SC,47464,1,20180914,allocated
ripencc,SC,47739,1,20160318,allocated
ripencc,SC,49111,1,20210827,allocated
ripencc,SC,51370,1,20201224,allocated
ripencc,SC,51381,1,20201113,allocated
ripencc,SC,51711,1,20210819,allocated
ripencc,SC,56873,1,20201123,allocated
ripencc,SC,56897,1,20210817,allocated
ripencc,SC,57858,1,20120223,allocated
ripencc,SC,57972,1,20120322,allocated
ripencc,SC,60039,1,20140619,allocated
ripencc,SC,60485,1,20130711,allocated
ripencc,SC,61202,1,20210721,allocated
ripencc,SC,61336,1,20170516,allocated
ripencc,SC,63119,1,20140729,allocated
apnic,SC,133772,1,20141027,allocated
apnic,SC,134979,1,20151216,allocated
ripencc,SC,198738,1,20230425,allocated
ripencc,SC,199834,1,20230215,allocated
ripencc,SC,200195,1,20230120,allocated
ripencc,SC,200699,1,20150501,allocated
ripencc,SC,201118,1,20150126,allocated
ripencc,SC,201162,1,20221124,allocated
ripencc,SC,201744,1,20221101,allocated
ripencc,SC,201936,1,20180625,allocated
ripencc,SC,202425,1,20180517,allocated
ripencc,SC,202492,1,20180507,allocated
ripencc,SC,203429,1,20230516,allocated
ripencc,SC,203538,1,20151216,allocated
ripencc,SC,204615,1,20220616,allocated
ripencc,SC,205083,1,20171109,allocated
ripencc,SC,205125,1,20171106,allocated
ripencc,SC,206264,1,20170222,allocated
ripencc,SC,206776,1,20200318,allocated
ripencc,SC,207557,1,20200113,allocated
ripencc,SC,207616,1,20200102,allocated
ripencc,SC,208220,1,20250519,allocated
ripencc,SC,208273,1,20190905,allocated
ripencc,SC,209101,1,20250519,allocated
ripencc,SC,209132,1,20190401,allocated
ripencc,SC,209272,1,20190307,allocated
ripencc,SC,210334,1,20211222,allocated
ripencc,SC,210530,1,20211104,allocated
ripencc,SC,210848,1,20210825,allocated
ripencc,SC,211238,1,20210601,allocated
ripencc,SC,211632,1,20210315,allocated
ripencc,SC,211720,1,20210301,allocated
ripencc,SC,211922,1,20210128,allocated
ripencc,SC,212471,1,20220207,allocated
ripencc,SC,213355,1,20250217,allocated
ripencc,SC,213373,1,20200414,allocated
ripencc,SC,213438,1,20250211,allocated
ripencc,SC,216206,1,20250528,allocated
ripencc,SC,216213,1,20231004,allocated
afrinic,SC,327709,1,20120531,allocated
afrinic,SC,327837,1,20150130,allocated
afrinic,SC,327861,1,20150316,allocated
afrinic,SC,328247,1,20171117,allocated
afrinic,SC,328383,1,20181010,allocated
afrinic,SC,328543,1,20190918,allocated
afrinic,SC,328703,1,20200716,allocated
afrinic,SC,328958,1,20211014,allocated
afrinic,SC,329225,1,20230307,allocated
